Designator,LibReference (MPN-ish),Comment/Value,Footprint,Description
C1,CA45-A-16V-10uF-K_C185774,10uF,,
CN1,S2B-PH-SM4-TB(LF)(SN),,,
C2,AC0603JRNPO9BN220,22pF,,
C3,CA45-A-16V-10uF-K_C185774,10uF,,
C4,0402ZD106MAT2A,10uF,,
C7,04026D226MAT2A,22uF,,
C8,0402X475K100NT,4.7uF,,
C9,0402X475K100NT,4.7uF,,
C10,0402ZD106MAT2A,10uF,,
C12,CL05B104KO5NNNC,100nF,,
C14,CL05B104KB54PNC,100nF,,
C15,CL05B104KB54PNC,100nF,,
C17,CT41G-0402-2X1-16V-0.1uF-K(N),100nF,,
C18,CL05B103KB5NNNC,10nF,,
C20,CL05B104KB54PNC,100nF,,
C21,CL05B104KB54PNC,100nF,,
C22,0402ZD106MAT2A,10uF,,
C23,CL05B104KB54PNC,100nF,,
C24,0402N221G500CT,220pF,,
C25,0402N221G500CT,220pF,,
C39,04026D226MAT2A,22uF,,
C40,04026D226MAT2A,22uF,,
C41,0402ZD106MAT2A,10uF,,
C42,CL05A105KP5NNNC,1uF,,
C43,CL05B104KB54PNC,100nF,,
C44,CT41G-0402-2X1-16V-0.1uF-K(N),100nF,,
D1,B5819W_C64885,,,
DO1,Test-Point,,,
D4,LESD5D5.0CT1G_C41399463,,,
D5,LESD5D5.0CT1G_C41399463,,,
D6,LESD5D5.0CT1G_C41399463,,,
D7,1N5819HW-7-F,,,
D8,SMAJ5.0A_C5249616,,,
GND1,Test-Point,,,
H1,S2B-PH-SM4-TB(LF)(SN),,,
H2,HDR-M_2.54_1x1P,,,
L1,FTC252012S2R2MBCA,2.2uH,,
LED1,WS2812B-2020,,,
L2,SLO0520H1R0MTT,1uH,,
LED2,WS2812B-2020,,,
LED3,WS2812B-2020,,,
LED4,WS2812B-2020,,,
LED5,KT-0603R,,,
LED6,WS2812B-2020,,,
LED7,WS2812B-2020,,,
LED8,WS2812B-2020,,,
LED9,WS2812B-2020,,,
LED10,WS2812B-2020,,,
LED11,WS2812B-2020,,,
LED12,WS2812B-2020,,,
LED13,WS2812B-2020,,,
LED14,WS2812B-2020,,,
LED15,WS2812B-2020,,,
LED16,KT-0603R,,,
LED17,WS2812B-2020,,,
LED18,WS2812B-2020,,,
LED19,WS2812B-2020,,,
LED21,KT-0603R,,,
Q1,DMG3415U,,,
R2,RC0402FR-07100KL,,,
R13,AC0402FR-07732KL,,,
R14,CRCW0402100KFKED,,,
R17,0402WGJ0103TCE,,,
R18,0402WGJ0103TCE,,,
R19,RMC04025.1K5%N,,,
R20,RMC04025.1K5%N,,,
R21,0402WGJ0103TCE,,,
R24,SCR0402F10K,,,
R27,SCR0402J0R,,,
R28,RC0402FR-071KL,,,
R30,0402WGJ0103TCE,,,
R32,RC0402FR-0722K1L,,,
R35,0402WGF1004TCE,,,
R38,RT0402FRE07140RL,,,
R39,RT0402FRE07140RL,,,
R40,RT0402FRE07140RL,,,
R41,0402WGJ0103TCE,,,
R42,0402WGJ0103TCE,,,
SW1,B3U-1000P_C231329,,,
SW2,B3U-1000P_C231329,,,
TP1,Test-Point,,,
TP3,Test-Point,,,
TP4,Test-Point,,,
TP5,Test-Point,,,
TP6,Test-Point,,,
TP7,Test-Point,,,
TP8,Test-Point,,,
TP9,Test-Point,,,
TP10,Test-Point,,,
TP11,Test-Point,,,
U1,SY8088IAAC,,,
USB1,USB4105-GF-A,,,
U3,MCP73831T-2ACI/OT,,,
U4,TPS61022RWUR,,,
U5,ESP32-S3-MINI-1-N4R2,,,
U6,SN74LV1T34DBVR_RF v1.0,,,
U7,MAX98357AETE+T,,,
U8,SPH0655LM4H-1-8,,,
U9,MAX17048G+T10,,,
U10,AT42QT1011-TSHR,,,
U12,MX35LF1GE4AB-Z4ITR,,,
